"Price","Entire_Place","Bedrooms","Beds","Bathrooms","Amenities","Accommodates","Cleanliness_Rating","Host_Communication_Rating","Superhost"
469,"Entire",5,7,3,13,10,5,5,"f"
102,"Shared",1,1,1.5,10,2,4.89,4.9,"f"
60,"Shared",1,1,1,6,1,4,4.67,"t"
338,"Entire",1,2,1,43,4,4.78,4.76,"f"
300,"Entire",3,5,2,23,7,4.43,5,"f"
60,"Shared",1,1,1,35,2,4.62,4.96,"f"
45,"Entire",1,1,1,48,1,4.85,5,"f"
115,"Entire",1,1,1,25,2,4.9,5,"f"
512,"Entire",2,2,1,59,4,4.76,4.98,"f"
45,"Shared",1,1,1,32,1,4.72,4.99,"f"
89,"Shared",1,1,1,13,2,4.4,4.8,"f"
150,"Entire",2,2,1,33,5,4.67,4.96,"t"
30,"Shared",1,1,1.5,13,1,3.95,4.51,"f"
278,"Entire",1,1,1,31,2,4.22,4.93,"t"
78,"Entire",1,1,1,10,2,4.67,4.93,"f"
70,"Shared",1,1,1,55,1,4.64,4.95,"f"
90,"Entire",1,1,1,59,1,4.17,4.5,"f"
159,"Shared",1,1,1,42,2,4.31,4.69,"t"
35,"Shared",1,1,1,30,1,4.89,4.89,"t"
195,"Entire",2,4,1,60,4,4.98,4.97,"t"
300,"Entire",1,1,2,66,3,5,4.86,"f"
160,"Entire",2,1,1,13,2,5,5,"t"
50,"Shared",1,1,1.5,22,1,4.34,4.78,"f"
126,"Entire",1,1,1,27,2,4.03,4.84,"f"
80,"Entire",1,1,1,30,2,4.59,4.78,"f"
55,"Shared",1,1,1,16,2,4.5,4.88,"f"
89,"Shared",1,1,1,22,2,4,4.75,"f"
399,"Entire",1,1,1,55,2,4.94,4.92,"t"
60,"Entire",2,1,1,26,2,4.64,4.55,"t"
146,"Entire",1,1,1,38,3,3.94,4.68,"f"
111,"Entire",1,2,1,37,4,4.75,4.54,"t"
115,"Entire",1,1,1,58,2,4.9,4.99,"f"
106,"Entire",1,1,1,36,2,4.64,4.93,"f"
90,"Shared",1,1,1,23,2,3.89,4.79,"f"
71,"Entire",1,1,1,41,2,4.92,4.95,"t"
150,"Entire",1,1,1,32,3,4.41,4.85,"f"
380,"Entire",4,5,2,7,8,4.5,5,"f"
55,"Shared",1,1,1,27,2,5,5,"f"
50,"Shared",1,1,0.5,9,1,4.25,4.63,"t"
100,"Entire",1,1,1,49,1,4.61,4.93,"f"
300,"Entire",3,3,1,37,5,4.91,4.96,"f"
108,"Entire",1,1,1,36,2,5,4.17,"f"
50,"Shared",1,1,0.5,17,1,4.57,4.9,"t"
60,"Shared",1,1,1,9,1,4.73,4.91,"t"
393,"Entire",1,1,1,71,3,4.85,4.97,"t"
114,"Shared",1,2,1,35,3,4.54,4.83,"f"
40,"Shared",1,1,1,11,1,5,5,"t"
105,"Shared",1,1,1.5,37,2,4.68,4.92,"t"
295,"Entire",4,5,2,56,7,4.5,4.83,"f"
60,"Shared",1,1,1,9,2,4.5,4.92,"t"
70,"Entire",1,2,1,37,2,4.91,4.96,"f"
165,"Entire",1,1,1,39,3,4.15,4.8,"f"
306,"Entire",1,2,1,35,4,4.69,4.93,"f"
259,"Entire",3,3,2,68,5,4.93,4.97,"t"
199,"Entire",2,2,1,18,2,3.7,4.6,"f"
90,"Entire",2,3,1,29,6,5,5,"f"
155,"Entire",3,3,1,26,7,4.34,4.86,"f"
68,"Shared",1,1,1.5,58,1,4.64,5,"t"
100,"Entire",1,1,1,30,2,4.93,5,"t"
66,"Entire",1,1,1,11,2,4.58,5,"f"
115,"Entire",1,2,1,58,2,4.7,4.85,"t"
60,"Shared",1,1,1,36,2,4.98,4.98,"t"
105,"Entire",1,1,1,57,2,4.83,4.88,"f"
105,"Entire",1,1,1,41,2,4.68,4.74,"f"
115,"Entire",2,2,1.5,17,3,4.83,4.83,"f"
130,"Entire",1,1,1,33,1,4.85,4.81,"f"
111,"Entire",1,1,1,30,2,4.86,4.95,"t"
84,"Shared",1,1,1.5,24,2,4.84,4.81,"f"
92,"Entire",1,1,1,44,2,4.36,4.36,"f"
39,"Shared",1,1,1,34,1,4.63,4.96,"t"
544,"Entire",3,4,2,32,7,4.5,4,"f"
442,"Entire",3,3,2,25,7,4.69,4.77,"f"
98,"Entire",1,1,1,33,2,4.96,4.88,"f"
219,"Entire",2,2,1,26,4,4.88,4.9,"f"
